item_name,current_price,old_price_element,item_discount_element,item_link,discount
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,969.0,8.0,41.0,/fashion-4-in-1-ladies-handbags-women-shoulder-bags-set-pu-leather-pink-29295116.html,41.0
HOMMY 3 Column Portable Wardrobe-Brown,2599.0,0.0,42.0,/hommy-3-column-portable-wardrobe-brown-34974676.html,42.0
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket",15999.0,0.0,20.0,/vitron-htc3200s32inch-frameless-smart-android-tv-netflixyoutubefree-tvguardbracket-43989687.html,20.0
AILYONS FK-0318 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle.,1599.0,9.0,20.0,/ailyons-fk-0318-stainless-steel-3.5l-electric-kettle-ultra-plus-kettle.-156461841.html,20.0
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,599.0,0.0,40.0,/fridgefreezer-guard-amaze-mpg301722.html,40.0
"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",490.0,,39.0,/power-king-extension-cable-with-6-ac-power-outlets-13a-and-2-m-long-cable-35289493.html,39.0
Wireless Bluetooth In-Ear Earphone Stereo Headset,570.0,0.0,43.0,/generic-wireless-bluetooth-in-ear-earphone-stereo-headset-73267580.html,43.0
MK Electronics TV Guard Surge Protector With High Quality Power Extension,899.0,0.0,33.0,/mk-electronics-tv-guard-surge-protector-with-high-quality-power-extension-35190424.html,33.0
Istanbul 2 Modern TV Stand With LED Lights,8499.0,0.0,39.0,/generic-istanbul-2-modern-tv-stand-with-led-lights-148107369.html,39.0
"Itel 2160// Dual SIM//Black//""C.E""",1548.0,0.0,14.0,/2160-dual-simblackc.e-itel-mpg1779741.html,14.0
22PcsSet Finger Rings Hollow Love Heart Finger Opening Rings Golden,510.0,,7.0,/generic-22pcsset-finger-rings-hollow-love-heart-finger-opening-rings-golden-99634272.html,7.0
T&G TG117 Portable Bluetooth Wireless Speaker,1150.0,0.0,27.0,/tg117-portable-bluetooth-wireless-speaker-tg-mpg300345.html,27.0
Fashion Women's Shoes Boots Chunky Mid Heel Frosted Classic Solid Color Martin Boots,1099.0,4.0,43.0,/fashion-womens-shoes-boots-chunky-mid-heel-frosted-classic-solid-color-martin-boots-57830124.html,43.0
Fashion Mens Vintage Graffiti Floral Pattern Shirts Hawaii Beach Shirt Casual-Red,773.0,2.0,40.0,/fashion-mens-vintage-graffiti-floral-pattern-shirts-hawaii-beach-shirt-casual-red-73818549.html,40.0
Fingerprint Light Bluetooth 5.0 Headset Wireless 4D Stereo Headset,599.0,,34.0,/fingerprint-touch-bluetooth-5.0-earphones-wireless-4d-stereo-headphones-generic-mpg268693.html,34.0
V9 Bluetooth Earbuds Headset Wireless Earphone-Black,499.0,,38.0,/v9-bluetooth-headphones-headset-wireless-earphone-black-generic-mpg322603.html,38.0
Backpack Laptop Bag Men Bag Satchel School Bag Purse Wallet Anti Theft Bag Large Capacity,1149.0,8.0,30.0,/generic-backpack-laptop-bag-men-bag-satchel-school-bag-purse-wallet-anti-theft-bag-large-capacity-35103390.html,30.0
Vitron V527 - 2.1CH Multimedia Speaker BT/USB/SD/FM - 9000W,6649.0,9.0,34.0,/vitron-v527-2.1ch-multimedia-speaker-btusbsdfm-9000w-114684364.html,34.0
"X Tigi HeroBook 10.1""-Android-Quad Core-3Gb RAM-64Gb ROM- 4000mAh-13 Months Warranty",10999.0,88.0,44.0,/x-tigi-herobook-10.1-android-quad-core-3gb-ram-64gb-rom-4000mah-13-months-warranty-113015965.html,44.0
Fashion Women's Sexy Star Moon Double-Layer Vertical Drop Bar-Silver,204.0,,1.0,/fashion-womens-sexy-star-moon-double-layer-vertical-drop-bar-silver-48044508.html,1.0
Deliya 2200W Hair Blow Dryer+6 Gifts,1871.0,3.0,46.0,/2200w-hair-dryer-professional-hair-styling-tools-6-gifts-fashion-mpg256883.html,46.0
D20 Bluetooth-compatible Rechargeable Smart Watch Clock-Pink,586.0,2.0,50.0,/generic-d20-bluetooth-compatible-rechargeable-smart-watch-clock-pink-48585963.html,50.0
Sokany F9 Wireless Bluetooth  Earphone  Touch Mini Earbuds - Black,890.0,0.0,44.0,/sokany-f9-wireless-bluetooth-earphone-touch-mini-earbuds-black-33266024.html,44.0
Fashion Black Sling Bag Retro Designer Small Round Bag Mini Bags  Women Handbags,550.0,0.0,45.0,/fashion-black-sling-bag-retro-designer-small-round-bag-mini-bags-women-handbags-127924937.html,45.0
Wireless Bluetooth Headsets Earphone Earpods Stereo Hifi 5.0,585.0,4.0,43.0,/generic-wireless-bluetooth-headsets-earphone-earpods-stereo-hifi-5.0-60921818.html,43.0
Fashion 4PCs Very Sexy Seamless Soft Lace Panties,945.0,0.0,27.0,/fashion-4pcs-very-sexy-seamless-soft-lace-panties-21570531.html,27.0
Fashion Mens Long Sleeve Casual Pattern Floral Polo Business Printed Shirts Official Vintage,1205.0,0.0,40.0,/fashion-mens-long-sleeve-casual-pattern-floral-polo-business-printed-shirts-official-vintage-73059781.html,40.0
"Bontel L200 ,,,Big Speaker,Power Bank Option//  Dual Sim- Black..C.E",1230.0,0.0,39.0,/bontel-l200-big-speakerpower-bank-option-dual-sim-black..c.e-58982529.html,39.0
Kericho Gold Kericho Gold Loose Tea - 250g,214.0,,3.0,/kericho-gold-kericho-gold-loose-tea-250g-48448383.html,3.0
Bluetooth Keyboard Portable Mini Wireless Keyboard Rechargeable For IPad Tablet,620.0,7.0,45.0,/generic-bluetooth-keyboard-portable-mini-wireless-keyboard-rechargeable-for-ipad-tablet-140939405.html,45.0
Bacardi Bacardi Carta De Oro 750ml,1782.0,4.0,8.0,/bacardi-bacardi-carta-de-oro-750ml-86767653.html,8.0
Electric Cooker / Single Spiral Coil Hotplate,990.0,0.0,45.0,/generic-electric-cooker-single-spiral-coil-hotplate-81795795.html,45.0
Adidas Adilette Aqua Slides Unisex,2760.0,0.0,40.0,/adidas-adilette-aqua-slides-unisex-94262502.html,40.0
"Phelistar Antenna Aerial & 14"" - 43"" Mount For Digital TV",850.0,0.0,43.0,/phelistar-antenna-aerial-14-43-mount-for-digital-tv-47911218.html,43.0
Fashion Men's Casual Windbreak Lightweight Blazer Zipper Jacket & Coats - Dark Gray,920.0,8.0,41.0,/fashion-mens-casual-windbreak-lightweight-blazer-zipper-jacket-coats-dark-gray-44209341.html,41.0
Fashion Women's Sexy Star Moon Double-Layer Vertical Drop Bar-Silver,204.0,,1.0,/fashion-womens-sexy-star-moon-double-layer-vertical-drop-bar-silver-48044508.html,1.0
Fashion 3 In 1 Men T-shirts Men Tops Tees Men Wear Clothes Polos,1099.0,5.0,44.0,/fashion-3-in-1-men-t-shirts-men-tops-tees-men-wear-clothes-polos-58000698.html,44.0
"Itel 2160// Dual SIM//Black//""C.E""",1548.0,0.0,14.0,/2160-dual-simblackc.e-itel-mpg1779741.html,14.0
MK Electronics TV Guard Surge Protector With High Quality Power Extension,899.0,0.0,33.0,/mk-electronics-tv-guard-surge-protector-with-high-quality-power-extension-35190424.html,33.0
Istanbul 2 Modern TV Stand With LED Lights,8499.0,0.0,39.0,/generic-istanbul-2-modern-tv-stand-with-led-lights-148107369.html,39.0
Deliya Hair Blow Dryer 2200W Hair Dryer+6 Gifts,1790.0,2.0,48.0,/deliya-hair-blow-dryer-2200w-hair-dryer6-gifts-22215811.html,48.0
"Nokia C12 Pro,6.3', 64GB + 4GB (2+2GB) ,8MP,(Dual SIM), 4000mAh,Charcoal",14499.0,99.0,9.0,/nokia-c12-pro6.3-64gb-4gb-22gb-8mpdual-sim-4000mahcharcoal-150536968.html,9.0
22PcsSet Finger Rings Hollow Love Heart Finger Opening Rings Golden,510.0,,7.0,/generic-22pcsset-finger-rings-hollow-love-heart-finger-opening-rings-golden-99634272.html,7.0
Fashion Women's Shoes Boots Chunky Mid Heel Frosted Classic Solid Color Martin Boots,1099.0,4.0,43.0,/fashion-womens-shoes-boots-chunky-mid-heel-frosted-classic-solid-color-martin-boots-57830124.html,43.0
